%Time [yyyymmddHHMM]	Hs [m]	Tp [s]	Dir [deg]
200501010000	1.10	4.20	287.00
200501010100	1.10	4.50	294.00
200501010200	1.10	4.70	298.00
200501010300	1.01	4.30	294.00
200501010400	1.07	4.40	297.00
200501010500	1.09	4.40	300.00
200501010600	1.01	4.30	306.00
200501010700	1.06	4.20	306.00
200501010800	1.01	4.30	306.00
200501010900	0.99	4.00	293.00
200501011000	1.01	4.00	288.00
200501011100	1.11	3.90	286.00
200501011200	1.01	4.00	267.00
200501011300	1.13	4.30	265.00
200501011400	1.14	4.40	268.00
200501011500	1.20	4.40	258.00
200501011600	1.37	4.40	245.00
200501011700	1.58	4.40	238.00
200501011800	1.83	4.40	227.00
200501011900	2.10	4.50	224.00
200501012000	2.45	4.70	226.00
200501012100	2.54	4.90	219.00
200501012200	2.77	5.10	222.00
200501012300	3.19	5.60	231.00
200501020000	3.03	5.60	240.00
200501020100	2.92	5.60	242.00
200501020200	3.27	6.10	245.00
200501020300	3.05	6.00	250.00
200501020400	3.60	6.30	252.00
200501020500	3.72	6.20	267.00
200501020600	4.01	6.51	273.00
200501020700	4.59	6.70	280.00
200501020800	4.07	6.54	280.00
200501020900	4.20	6.60	279.00
200501021000	4.04	6.70	291.00
200501021100	4.52	6.70	285.00
200501021200	4.09	6.65	282.00
200501021300	4.22	6.75	279.00
200501021400	4.37	6.60	283.00
200501021500	3.86	6.40	291.00
200501021600	4.13	6.70	286.00
200501021700	3.82	6.52	282.00
200501021800	3.87	6.50	289.00
200501021900	4.15	6.60	285.00
200501022000	4.47	6.80	287.00
200501022100	3.73	6.46	284.00
200501022200	4.10	6.40	294.00
200501022300	3.82	6.40	296.00
200501030000	3.89	6.48	290.00
200501030100	3.98	6.55	288.00
200501030200	3.77	6.47	290.00
200501030300	3.82	6.50	280.00
200501030400	3.28	6.50	290.00
200501030500	3.66	6.60	292.00
200501030600	3.53	6.40	296.00
200501030700	3.57	6.40	289.00
200501030800	3.12	6.10	299.00
200501030900	3.01	6.00	294.00
200501031000	3.01	5.80	295.00
200501031100	2.73	5.90	298.00
200501031200	2.67	5.60	290.00
200501031300	2.52	5.60	289.00
200501031400	2.54	5.70	290.00
200501031500	2.59	5.80	284.00
200501031600	2.69	6.10	296.00
200501031700	2.55	5.90	293.00
200501031800	2.51	6.00	301.00
200501031900	2.46	6.00	298.00
200501032000	2.36	5.50	296.00
200501032100	2.43	5.10	272.00
200501032200	2.35	5.20	274.00
200501032300	2.38	5.50	271.00
200501040000	2.30	5.20	269.00
200501040100	2.51	5.20	256.00
200501040200	2.39	5.40	248.00
200501040300	2.52	5.80	251.00
200501040400	2.53	5.80	248.00
200501040500	2.68	5.90	248.00
200501040600	2.71	5.80	246.00
200501040700	2.52	5.60	247.00
200501040800	2.53	5.40	245.00
200501040900	2.55	5.30	245.00
200501041000	2.73	5.30	241.00
200501041100	2.94	5.40	238.00
200501041200	3.21	5.60	237.00
200501041300	3.09	5.60	232.00
200501041400	3.21	5.80	232.00
200501041500	3.14	6.00	230.00
200501041600	2.86	5.90	226.00
200501041700	2.72	5.90	225.00
200501041800	3.22	6.30	227.00
200501041900	2.72	5.80	226.00
200501042000	2.74	5.70	233.00
200501042100	3.01	5.80	233.00
200501042200	2.53	5.60	233.00
200501042300	2.35	5.40	235.00
200501050000	2.33	5.60	235.00
200501050100	2.06	5.40	239.00
200501050200	1.88	5.10	249.00
200501050300	2.04	5.00	249.00
200501050400	1.91	5.20	255.00
200501050500	1.81	5.10	268.00
200501050600	1.65	4.90	273.00
200501050700	1.61	4.80	278.00
200501050800	1.85	5.10	293.00
200501050900	1.77	5.10	291.00
200501051000	1.70	4.90	298.00
200501051100	1.61	4.80	288.00
200501051200	1.72	4.80	292.00
200501051300	1.66	4.60	284.00
200501051400	1.62	4.50	275.00
200501051500	1.62	4.60	270.00
200501051600	1.75	4.90	265.00
200501051700	1.80	5.00	257.00
200501051800	2.02	5.30	258.00
200501051900	1.96	5.20	247.00
200501052000	2.37	5.20	243.00
200501052100	2.24	5.10	243.00
200501052200	2.16	4.80	241.00
200501052300	2.85	5.20	243.00
200501060000	2.49	5.22	248.00
200501060100	3.14	5.60	243.00
200501060200	2.64	5.40	243.00
200501060300	2.58	5.30	250.00
200501060400	2.44	5.30	250.00
200501060500	2.33	5.30	249.00
200501060600	2.43	5.40	261.00
200501060700	2.35	5.30	276.00
200501060800	2.45	5.50	276.00
200501060900	1.94	4.90	266.00
200501061000	2.24	5.10	268.00
200501061100	2.01	4.90	271.00
200501061200	1.92	4.80	270.00
200501061300	1.67	4.50	269.00
200501061400	1.65	4.60	278.00
200501061500	1.71	4.90	286.00
200501061600	1.68	4.70	273.00
200501061700	1.65	4.90	268.00
200501061800	1.69	4.90	258.00
200501061900	2.00	5.00	244.00
200501062000	2.33	5.30	238.00
200501062100	2.38	5.40	233.00
200501062200	2.44	5.40	237.00
200501062300	2.54	5.30	237.00
200501070000	2.59	5.20	234.00
200501070100	2.47	5.00	237.00
200501070200	2.44	5.00	227.00
200501070300	2.77	5.30	224.00
200501070400	2.75	5.30	227.00
200501070500	2.88	5.70	225.00
200501070600	3.41	6.10	225.00
200501070700	3.16	6.30	227.00
200501070800	3.12	6.30	225.00
200501070900	3.38	6.30	226.00
200501071000	3.19	6.10	230.00
200501071100	3.10	5.80	228.00
200501071200	3.22	5.80	229.00
200501071300	3.42	5.90	228.00
200501071400	3.77	6.20	228.00
200501071500	3.51	6.00	229.00
200501071600	3.49	5.80	227.00
200501071700	3.77	6.20	228.00
200501071800	3.46	6.20	228.00
200501071900	3.60	6.30	225.00
200501072000	3.56	6.40	228.00
200501072100	3.28	6.10	225.00
200501072200	3.17	6.10	227.00
200501072300	3.19	5.90	226.00
200501080000	3.41	5.90	231.00
200501080100	3.23	5.70	229.00
200501080200	3.41	5.70	229.00
200501080300	3.23	5.50	226.00
200501080400	3.01	5.40	220.00
200501080500	3.49	6.00	223.00
200501080600	3.60	6.20	230.00
200501080700	3.89	6.50	233.00
200501080800	3.93	6.70	231.00
200501080900	3.82	6.76	223.00
200501081000	4.25	6.90	231.00
200501081100	4.98	7.20	235.00
200501081200	5.02	7.10	235.00
200501081300	4.67	6.80	235.00
200501081400	4.73	6.80	235.00
200501081500	4.28	6.50	237.00
200501081600	4.44	6.85	251.00
200501081700	4.40	6.80	271.00
200501081800	4.59	6.93	270.00
200501081900	4.04	6.70	258.00
200501082000	4.19	6.96	260.00
200501082100	4.20	6.95	262.00
200501082200	4.90	7.40	264.00
200501082300	5.03	7.50	258.00
200501090000	4.21	7.00	260.00
200501090100	3.88	6.40	267.00
200501090200	3.59	6.20	264.00
200501090300	3.47	6.00	262.00
200501090400	3.34	5.90	259.00
200501090500	2.90	5.70	256.00
200501090600	2.97	5.80	255.00
200501090700	2.98	5.90	255.00
200501090800	3.24	6.20	255.00
200501090900	3.09	6.40	251.00
200501091000	3.05	6.40	257.00
200501091100	2.97	6.40	253.00
200501091200	3.19	6.20	255.00
200501091300	2.77	5.80	250.00
200501091400	3.07	5.70	256.00
200501091500	2.63	5.20	252.00
200501091600	2.12	4.80	242.00
200501091700	2.11	4.80	233.00
200501091800	2.03	4.80	229.00
200501091900	1.98	4.80	220.00
200501092000	2.01	4.90	218.00
200501092100	2.07	5.10	218.00
200501092200	2.22	5.30	213.00
200501092300	2.29	5.50	222.00
200501100000	2.66	5.50	223.00
200501100100	3.01	5.70	227.00
200501100200	3.11	5.70	231.00
200501100300	2.67	5.10	229.00
200501100400	2.90	5.30	233.00
200501100500	2.62	5.10	225.00
200501100600	2.66	5.10	224.00
200501100700	2.39	4.90	225.00
200501100800	2.45	5.10	227.00
200501100900	2.67	5.60	225.00
200501101000	2.54	5.70	225.00
200501101100	2.43	5.60	226.00
200501101200	2.34	5.60	230.00
200501101300	2.49	5.70	231.00
200501101400	2.61	5.60	232.00
200501101500	2.60	5.30	235.00
200501101600	2.52	5.20	231.00
200501101700	2.29	4.80	227.00
200501101800	2.23	4.80	224.00
200501101900	2.14	4.90	225.00
200501102000	2.31	5.20	226.00
200501102100	2.26	5.30	222.00
200501102200	2.07	5.40	228.00
200501102300	1.85	5.30	227.00
200501110000	1.71	5.10	225.00
200501110100	1.65	5.00	223.00
200501110200	1.45	4.70	226.00
200501110300	1.43	4.50	230.00
200501110400	1.29	4.10	230.00
200501110500	1.27	4.20	238.00
200501110600	1.08	4.00	238.00
200501110700	1.08	4.00	241.00
200501110800	1.09	3.90	245.00
200501110900	1.06	4.00	245.00
200501111000	1.07	4.40	237.00
200501111100	1.19	4.40	232.00
200501111200	1.33	4.50	228.00
200501111300	1.58	4.70	224.00
200501111400	1.72	4.70	218.00
200501111500	1.74	4.50	219.00
200501111600	1.75	4.20	221.00
200501111700	1.51	4.00	220.00
200501111800	1.73	4.10	214.00
200501111900	1.83	4.20	205.00
200501112000	2.12	4.50	213.00
200501112100	2.16	4.90	212.00
200501112200	2.34	5.20	213.00
200501112300	2.74	5.90	224.00
200501120000	2.93	6.00	224.00
200501120100	2.61	6.00	232.00
200501120200	2.22	5.70	231.00
200501120300	2.23	5.50	231.00
200501120400	2.27	5.00	236.00
200501120500	2.00	4.60	234.00
200501120600	1.81	4.40	233.00
200501120700	1.85	4.50	239.00
200501120800	2.02	4.70	240.00
200501120900	2.11	4.80	243.00
200501121000	2.18	5.00	243.00
200501121100	2.20	5.30	241.00
200501121200	2.41	5.70	242.00
200501121300	2.81	5.90	240.00
200501121400	2.52	5.60	243.00
200501121500	2.75	5.70	242.00
200501121600	3.14	5.80	243.00
200501121700	3.04	5.67	249.00
200501121800	2.72	5.30	244.00
200501121900	2.47	5.10	244.00
200501122000	2.28	4.90	248.00
200501122100	2.29	4.90	251.00
200501122200	2.46	5.20	255.00
200501122300	2.59	5.50	254.00
200501130000	2.51	5.60	256.00
200501130100	2.58	5.70	257.00
200501130200	2.72	5.80	261.00
200501130300	2.95	5.90	266.00
200501130400	3.16	6.00	277.00
200501130500	3.20	5.80	274.00
200501130600	3.02	5.70	280.00
200501130700	2.98	5.70	287.00
200501130800	3.14	5.80	279.00
200501130900	3.01	5.90	291.00
200501131000	3.05	6.00	292.00
200501131100	3.35	6.00	284.00
200501131200	2.86	5.70	298.00
200501131300	3.06	6.10	297.00
200501131400	2.94	6.10	296.00
200501131500	3.19	6.30	291.00
200501131600	2.54	5.70	301.00
200501131700	2.79	6.00	306.00
200501131800	2.34	5.72	304.00
200501131900	2.22	5.45	302.00
200501132000	2.13	5.48	300.00
200501132100	2.11	5.37	304.00
200501132200	1.96	5.35	310.00
200501132300	1.98	5.22	315.00
200501140000	1.65	5.20	316.00
200501140100	2.20	6.00	323.00
200501140200	2.16	5.80	321.00
200501140300	2.25	6.10	323.00
200501140400	2.16	6.10	325.00
200501140500	2.16	6.30	329.00
200501140600	1.75	6.02	306.00
200501140700	1.97	6.20	327.00
200501140800	1.63	5.90	330.00
200501140900	1.51	5.80	333.00
200501141000	1.50	5.90	340.00
200501141100	1.37	5.60	337.00
200501141200	1.24	5.40	334.00
200501141300	1.46	6.00	334.00
200501141400	1.69	6.80	338.00
200501141500	1.56	6.70	337.00
200501141600	1.52	6.30	335.00
200501141700	1.56	6.20	335.00
200501141800	1.61	5.90	334.00
200501141900	1.38	5.60	330.00
200501142000	1.28	5.40	326.00
200501142100	1.14	5.00	331.00
200501142200	1.04	4.50	331.00
200501142300	1.01	4.50	329.00
200501150000	1.09	4.70	320.00
200501150100	1.11	4.80	299.00
200501150200	1.06	5.10	306.00
200501150300	1.09	4.90	278.00
200501150400	1.02	4.80	298.00
200501150500	1.17	4.80	287.00
200501150600	1.10	4.30	258.00
200501150700	1.15	4.00	231.00
200501150800	1.13	3.80	218.00
200501150900	1.07	3.70	208.00
200501151000	1.15	3.70	199.00
200501151100	1.20	3.80	192.00
200501151200	1.15	4.00	194.00
200501151300	1.20	4.20	193.00
200501151400	1.32	4.50	203.00
200501151500	1.22	4.50	205.00
200501151600	1.14	4.40	209.00
200501151700	1.16	4.20	207.00
200501151800	1.12	4.10	211.00
200501151900	1.10	3.70	205.00
200501152000	1.02	3.60	201.00
200501152100	1.00	3.60	203.00
200501152200	1.08	3.50	199.00
200501152300	1.03	3.60	197.00
200501160000	0.93	3.50	190.00
200501160100	1.09	4.00	195.00
200501160200	1.03	4.10	199.00
200501160300	0.93	4.00	203.00
200501160400	1.00	4.10	208.00
200501160500	0.91	4.00	214.00
200501160600	1.01	3.90	215.00
200501160700	1.09	3.90	216.00
200501160800	1.06	3.60	220.00
200501160900	0.98	3.50	214.00
200501161000	1.02	3.60	212.00
200501161100	0.97	3.50	211.00
200501161200	1.04	3.70	211.00
200501161300	1.09	3.70	208.00
200501161400	1.06	4.10	211.00
200501161500	1.16	4.30	211.00
200501161600	1.21	4.40	213.00
200501161700	1.27	4.40	218.00
200501161800	1.20	4.20	217.00
200501161900	1.28	4.10	219.00
200501162000	1.52	3.90	215.00
200501162100	1.57	4.00	222.00
200501162200	1.50	3.90	219.00
200501162300	1.57	4.10	217.00
200501170000	1.69	4.30	221.00
200501170100	1.88	4.60	223.00
200501170200	1.76	4.80	226.00
200501170300	1.53	4.80	227.00
200501170400	1.43	4.70	224.00
200501170500	1.36	4.70	227.00
200501170600	1.47	4.40	228.00
200501170700	1.46	4.30	226.00
200501170800	1.54	4.10	227.00
200501170900	1.73	4.20	222.00
200501171000	1.64	4.10	218.00
200501171100	1.83	4.30	211.00
200501171200	2.00	4.50	216.00
200501171300	2.30	4.94	219.00
200501171400	2.37	5.16	220.00
200501171500	2.46	5.39	222.00
200501171600	2.60	5.63	219.00
200501171700	2.52	5.61	214.00
200501171800	2.54	5.61	219.00
200501171900	2.52	5.37	220.00
200501172000	2.55	5.34	219.00
200501172100	2.50	5.13	219.00
200501172200	2.54	5.05	221.00
200501172300	2.36	4.89	223.00
200501180000	2.57	5.24	233.00
200501180100	2.47	5.32	243.00
200501180200	2.09	5.31	248.00
200501180300	2.28	5.27	272.00
200501180400	1.96	5.30	263.00
200501180500	1.90	5.11	260.00
200501180600	1.87	5.03	266.00
200501180700	1.92	5.14	275.00
200501180800	1.88	4.91	271.00
200501180900	1.79	4.75	280.00
200501181000	1.83	4.73	266.00
200501181100	1.73	4.69	265.00
200501181200	1.71	4.79	276.00
200501181300	1.72	4.75	286.00
200501181400	1.85	4.79	276.00
200501181500	2.00	5.05	280.00
200501181600	1.97	5.04	266.00
200501181700	1.99	5.15	257.00
200501181800	1.92	5.03	248.00
200501181900	2.12	5.11	244.00
200501182000	2.29	5.24	253.00
200501182100	2.64	5.27	267.00
200501182200	3.50	5.35	297.00
200501182300	3.53	5.81	290.00
200501190000	3.39	5.93	301.00
200501190100	3.22	5.90	299.00
200501190200	3.56	5.89	305.00
200501190300	3.67	6.12	320.00
200501190400	3.29	6.12	317.00
200501190500	3.28	6.08	313.00
200501190600	3.32	6.14	310.00
200501190700	3.29	6.21	307.00
200501190800	3.37	6.37	303.00
200501190900	3.18	6.19	299.00
200501191000	3.04	6.10	295.00
200501191100	2.80	6.01	297.00
200501191200	2.61	5.79	301.00
200501191300	2.45	5.74	298.00
200501191400	2.47	5.73	285.00
200501191500	2.33	5.59	299.00
200501191600	2.19	5.49	292.00
200501191700	2.20	5.46	277.00
200501191800	2.25	5.60	267.00
200501191900	2.24	5.73	263.00
200501192000	2.19	5.62	249.00
200501192100	2.14	5.57	243.00
200501192200	2.13	5.34	233.00
200501192300	2.12	5.13	228.00
200501200000	2.09	4.91	239.00
200501200100	2.52	5.07	254.00
200501200200	2.50	5.23	262.00
200501200300	2.52	5.14	272.00
200501200400	2.49	5.20	273.00
200501200500	2.28	5.19	278.00
200501200600	2.25	5.35	276.00
200501200700	2.51	5.54	271.00
200501200800	2.36	5.39	271.00
200501200900	2.35	5.34	273.00
200501201000	2.76	5.41	274.00
200501201100	2.94	5.39	276.00
200501201200	2.71	5.38	272.00
200501201300	2.70	5.27	267.00
200501201400	3.02	5.50	267.00
200501201500	3.06	5.58	264.00
200501201600	3.16	5.73	266.00
200501201700	3.37	5.89	270.00
200501201800	3.02	5.77	271.00
200501201900	2.86	5.82	274.00
200501202000	3.08	6.24	273.00
200501202100	3.25	6.34	284.00
200501202200	3.38	6.40	285.00
200501202300	3.56	6.42	282.00
200501210000	3.46	6.38	293.00
200501210100	3.57	6.44	297.00
200501210200	3.94	6.60	306.00
200501210300	4.26	6.86	307.00
200501210400	4.58	7.02	309.00
200501210500	4.88	7.10	308.00
200501210600	4.99	7.30	306.00
200501210700	5.01	7.07	308.00
200501210800	5.02	7.39	310.00
200501210900	5.15	7.56	304.00
200501211000	4.88	7.27	301.00
200501211100	4.69	7.19	306.00
200501211200	4.64	7.19	302.00
200501211300	4.20	7.03	307.00
200501211400	3.91	6.85	307.00
200501211500	3.88	6.99	309.00
200501211600	3.66	6.81	309.00
200501211700	3.45	6.42	309.00
200501211800	3.55	6.45	306.00
200501211900	3.53	6.46	304.00
200501212000	3.65	6.55	309.00
200501212100	3.76	6.50	310.00
200501212200	3.60	6.52	314.00
200501212300	3.61	6.55	312.00
200501220000	3.51	6.47	321.00
200501220100	3.64	6.61	317.00
200501220200	3.63	6.82	320.00
200501220300	3.78	6.86	324.00
200501220400	3.85	6.97	327.00
200501220500	3.73	7.00	327.00
200501220600	3.79	6.93	333.00
200501220700	3.61	6.98	345.00
200501220800	3.57	7.04	346.00
200501220900	3.40	6.84	339.00
200501221000	3.25	6.74	332.00
200501221100	3.31	6.74	325.00
200501221200	2.90	6.65	327.00
200501221300	2.66	6.61	323.00
200501221400	2.55	6.72	309.00
200501221500	2.29	6.54	289.00
200501221600	2.10	6.26	299.00
200501221700	1.88	6.13	334.00
200501221800	1.79	5.81	343.00
200501221900	1.83	5.59	345.00
200501222000	1.69	5.49	317.00
200501222100	1.71	5.84	325.00
200501222200	1.74	5.88	13.00
200501222300	1.78	5.83	358.00
200501230000	1.80	5.62	12.00
200501230100	1.77	5.64	14.00
200501230200	1.73	5.64	11.00
200501230300	1.73	5.57	12.00
200501230400	1.60	5.40	5.00
200501230500	1.66	5.47	21.00
200501230600	1.77	5.39	21.00
200501230700	1.93	5.17	14.00
200501230800	1.76	5.03	357.00
200501230900	1.75	5.05	349.00
200501231000	1.80	4.99	338.00
200501231100	1.96	5.05	328.00
200501231200	2.17	5.15	327.00
200501231300	2.18	5.11	317.00
200501231400	2.34	5.29	329.00
200501231500	2.43	5.51	309.00
200501231600	2.68	5.65	320.00
200501231700	2.97	5.72	354.00
200501231800	2.94	5.88	347.00
200501231900	3.44	5.96	345.00
200501232000	3.75	5.95	349.00
200501232100	3.64	6.10	356.00
200501232200	4.63	6.47	1.00
200501232300	4.71	6.89	352.00
200501240000	4.47	7.23	5.00
200501240100	5.05	7.37	356.00
200501240200	4.82	7.77	358.00
200501240300	5.25	7.78	13.00
200501240400	5.05	7.87	8.00
200501240500	4.61	7.93	11.00
200501240600	4.27	7.75	6.00
200501240700	4.65	7.68	24.00
200501240800	4.56	7.73	29.00
200501240900	4.59	7.58	21.00
200501241000	4.64	7.38	27.00
200501241100	4.23	7.01	35.00
200501241200	3.62	6.85	37.00
200501241300	3.43	7.05	22.00
200501241400	3.25	7.03	24.00
200501241500	3.07	6.81	22.00
200501241600	2.89	6.96	25.00
200501241700	2.78	6.81	31.00
200501241800	2.63	6.58	35.00
200501241900	2.48	6.24	31.00
200501242000	2.35	5.91	35.00
200501242100	2.31	5.74	38.00
200501242200	2.03	5.69	8.00
200501242300	2.13	6.16	8.00
200501250000	2.10	6.34	58.00
200501250100	2.12	6.26	23.00
200501250200	2.06	5.89	31.00
200501250300	1.90	5.84	29.00
200501250400	1.83	5.85	27.00
200501250500	1.73	5.84	33.00
200501250600	1.68	5.54	48.00
200501250700	1.60	5.42	47.00
200501250800	1.59	4.98	49.00
200501250900	1.63	4.70	47.00
200501251000	1.67	4.68	45.00
200501251100	1.74	4.83	42.00
200501251200	1.79	4.95	40.00
200501251300	1.86	5.05	38.00
200501251400	1.85	5.15	35.00
200501251500	1.78	5.33	33.00
200501251600	1.69	5.51	31.00
200501251700	1.60	5.55	28.00
200501251800	1.48	5.46	26.00
200501251900	1.45	5.12	24.00
200501252000	1.53	4.73	42.00
200501252100	1.61	4.58	57.00
200501252200	1.69	4.32	61.00
200501252300	1.71	4.45	54.00
200501260000	1.76	4.57	57.00
200501260100	1.72	4.68	59.00
200501260200	1.64	4.60	58.00
200501260300	1.50	4.68	63.00
200501260400	1.45	4.83	57.00
200501260500	1.50	5.25	69.00
200501260600	1.51	5.25	59.00
200501260700	1.39	4.94	50.00
200501260800	1.42	4.85	53.00
200501260900	1.42	4.53	49.00
200501261000	1.33	4.40	51.00
200501261100	1.35	4.37	44.00
200501261200	1.26	4.39	38.00
200501261300	1.15	4.38	43.00
200501261400	1.10	4.37	30.00
200501261500	1.06	4.54	35.00
200501261600	1.02	4.65	4.00
200501261700	0.92	4.91	15.00
200501261800	0.82	5.10	0.00
200501261900	0.85	4.81	330.00
200501262000	0.80	4.42	296.00
200501262100	0.72	4.10	351.00
200501262200	0.67	4.00	353.00
200501262300	0.69	4.20	349.00
200501270000	0.58	4.30	356.00
200501270100	0.65	4.50	349.00
200501270200	0.66	4.70	346.00
200501270300	0.62	4.30	340.00
200501270400	0.74	4.00	325.00
200501270500	0.66	4.00	325.00
200501270600	0.63	3.90	311.00
200501270700	0.65	4.10	311.00
200501270800	0.66	4.00	307.00
200501270900	0.68	4.10	310.00
200501271000	1.14	5.00	321.00
200501271100	2.03	5.30	341.00
200501271200	1.80	5.08	354.00
200501271300	1.88	5.40	333.00
200501271400	1.80	5.40	331.00
200501271500	1.98	5.70	329.00
200501271600	1.85	5.56	341.00
200501271700	1.78	5.42	358.00
200501271800	1.64	5.43	358.00
200501271900	1.92	5.33	7.00
200501272000	1.94	5.60	12.00
200501272100	2.00	5.54	3.00
200501272200	2.18	5.41	1.00
200501272300	2.09	5.21	359.00
200501280000	2.00	5.24	3.00
200501280100	1.97	5.27	356.00
200501280200	1.99	5.40	9.00
200501280300	1.91	5.33	356.00
200501280400	1.91	5.48	354.00
200501280500	1.90	5.62	352.00
200501280600	1.80	5.86	354.00
200501280700	1.66	5.79	359.00
200501280800	1.58	5.64	358.00
200501280900	1.58	5.55	1.00
200501281000	1.49	5.31	7.00
200501281100	1.49	5.31	14.00
200501281200	1.58	5.47	12.00
200501281300	1.70	5.74	9.00
200501281400	1.85	5.89	7.00
200501281500	1.99	6.07	20.00
200501281600	1.99	6.20	17.00
200501281700	1.90	6.04	24.00
200501281800	1.89	6.28	39.00
200501281900	1.72	6.28	56.00
200501282000	1.56	6.12	53.00
200501282100	1.42	5.89	53.00
200501282200	1.43	5.58	36.00
200501282300	1.45	5.15	40.00
200501290000	1.54	5.04	38.00
200501290100	1.57	4.90	34.00
200501290200	1.65	5.23	33.00
200501290300	1.70	5.28	37.00
200501290400	1.66	5.41	44.00
200501290500	1.72	5.66	40.00
200501290600	1.56	5.76	47.00
200501290700	1.39	5.83	71.00
200501290800	1.35	5.94	69.00
200501290900	1.19	5.81	98.00
200501291000	1.13	5.74	230.00
200501291100	1.11	5.72	245.00
200501291200	1.08	5.65	270.00
200501291300	1.07	5.74	298.00
200501291400	1.10	5.74	337.00
200501291500	1.05	5.60	323.00
200501291600	1.14	5.60	345.00
200501291700	1.22	5.49	346.00
200501291800	1.29	5.52	341.00
200501291900	1.17	5.32	336.00
200501292000	1.22	5.29	338.00
200501292100	1.13	5.11	327.00
200501292200	1.15	4.80	336.00
200501292300	1.20	4.68	343.00
200501300000	1.19	4.59	334.00
200501300100	1.15	4.74	322.00
200501300200	1.16	4.77	326.00
200501300300	1.17	4.69	329.00
200501300400	1.18	4.59	328.00
200501300500	1.23	4.66	324.00
200501300600	1.26	4.75	331.00
200501300700	1.23	4.85	336.00
200501300800	1.26	4.70	322.00
200501300900	1.27	4.82	321.00
200501301000	1.22	4.62	338.00
200501301100	1.21	4.58	325.00
200501301200	1.19	4.41	324.00
200501301300	1.16	4.56	306.00
200501301400	1.18	4.50	294.00
200501301500	1.25	4.64	289.00
200501301600	1.16	4.53	284.00
200501301700	1.21	4.71	278.00
200501301800	1.22	4.78	279.00
200501301900	1.30	4.99	282.00
200501302000	1.34	4.89	283.00
200501302100	1.34	4.69	294.00
200501302200	1.35	4.58	307.00
200501302300	1.32	4.57	314.00
200501310000	1.23	4.50	310.00
200501310100	1.23	4.48	307.00
200501310200	1.33	4.55	309.00
200501310300	1.33	4.51	309.00
200501310400	1.32	4.49	311.00
200501310500	1.36	4.48	310.00
200501310600	1.38	4.57	299.00
200501310700	1.31	4.75	295.00
200501310800	1.32	4.84	294.00
200501310900	1.34	4.69	286.00
200501311000	1.37	4.66	289.00
200501311100	1.51	4.66	296.00
200501311200	1.58	4.59	301.00
200501311300	1.67	4.66	299.00
200501311400	1.69	4.84	301.00
200501311500	1.81	4.87	296.00
200501311600	2.06	5.09	305.00
200501311700	2.04	4.96	308.00
200501311800	2.24	5.09	311.00
200501311900	2.20	5.42	312.00
200501312000	2.12	5.53	315.00
200501312100	2.32	5.54	331.00
200501312200	2.36	5.59	346.00
200501312300	2.32	5.66	346.00
200502010000	2.19	5.20	349.00
200502010100	2.19	5.06	356.00
200502010200	2.11	4.94	352.00
200502010300	2.08	4.96	351.00
200502010400	2.29	5.04	354.00
200502010500	2.50	5.29	349.00
200502010600	2.61	5.30	352.00
200502010700	2.67	5.61	347.00
200502010800	2.68	5.98	357.00
200502010900	2.60	5.96	349.00
200502011000	2.72	6.23	346.00
200502011100	2.79	6.34	345.00
200502011200	2.75	6.17	353.00
200502011300	2.73	6.00	351.00
200502011400	2.74	5.87	351.00
200502011500	2.92	6.23	347.00
200502011600	2.82	6.33	348.00
200502011700	2.59	6.25	348.00
200502011800	2.68	6.33	338.00
200502011900	2.65	6.19	357.00
200502012000	2.51	6.46	337.00
200502012100	2.29	6.53	335.00
200502012200	2.16	6.15	336.00
200502012300	2.04	6.16	320.00
200502020000	1.93	5.94	339.00
200502020100	1.90	5.61	341.00
200502020200	2.01	5.59	335.00
200502020300	2.09	5.50	329.00
200502020400	2.14	5.46	327.00
200502020500	2.23	5.46	318.00
200502020600	2.16	5.55	319.00
200502020700	2.09	5.42	320.00
200502020800	2.17	5.43	319.00
200502020900	2.13	5.54	322.00
200502021000	2.03	5.47	320.00
200502021100	2.03	5.36	325.00
200502021200	2.05	5.41	326.00
200502021300	1.96	5.16	322.00
200502021400	1.91	5.08	321.00
200502021500	1.95	5.14	325.00
200502021600	1.94	5.18	318.00
200502021700	2.03	5.31	321.00
200502021800	1.96	5.31	320.00
200502021900	1.93	5.27	324.00
200502022000	1.91	5.27	324.00
200502022100	1.78	5.12	324.00
200502022200	1.80	5.20	327.00
200502022300	1.79	5.24	325.00
200502030000	1.71	5.10	319.00
200502030100	1.74	5.20	316.00
200502030200	1.61	4.96	319.00
200502030300	1.70	4.94	319.00
200502030400	1.66	4.90	321.00
200502030500	1.68	4.87	332.00
200502030600	1.60	4.89	337.00
200502030700	1.56	4.95	343.00
200502030800	1.54	5.12	344.00
200502030900	1.47	5.24	342.00
200502031000	1.45	5.32	352.00
200502031100	1.41	5.41	6.00
200502031200	1.29	5.21	356.00
200502031300	1.26	5.14	346.00
200502031400	1.19	5.07	349.00
200502031500	1.20	5.12	1.00
200502031600	1.16	5.16	343.00
200502031700	1.15	5.15	329.00
200502031800	1.15	5.31	312.00
200502031900	1.14	5.27	322.00
200502032000	1.13	5.27	294.00
200502032100	1.13	5.36	258.00
200502032200	1.02	5.34	275.00
200502032300	0.99	5.54	272.00
200502040000	0.90	5.41	245.00
200502040100	0.91	5.18	236.00
200502040200	0.83	5.14	221.00
200502040300	0.84	5.13	225.00
200502040400	0.79	4.91	215.00
